S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S15,S16,S17,S18,S21,S22,S23,S24,S25,S26,S27,S28,S29,S31,M3x,M3y,M3z,M1x,M1y,M1z,M4x,M4y,M4z,M2x,M2y,M2z,sesion_time_stamp
8,4,10,5,16,1,2,0,9,2,21,10,1,19,1,2,0,15,1,31,52,0,21,3,0,13,0,1.55433893203735,0.612071216106415,0.848280251026154,1.66619884967804,0.388023167848587,0.623480558395386,1.39690482616425,0.128892585635185,0.631135165691376,1.39445209503174,0.266789495944977,0.783085823059082,11_Sep_2023_14_40
10,4,8,3,8,0,1,1,1,5,23,14,0,21,0,3,4,16,1,31,52,2,18,1,0,15,2,1.55433893203735,0.612071216106415,0.848280251026154,1.66619884967804,0.388023167848587,0.623480558395386,1.39690482616425,0.128892585635185,0.631135165691376,1.39445209503174,0.266789495944977,0.783085823059082,11_Sep_2023_14_40
9,1,8,7,4,1,2,0,2,5,26,14,2,24,1,7,0,17,0,35,53,2,20,4,1,15,1,1.55433893203735,0.612071216106415,0.848280251026154,1.66619884967804,0.388023167848587,0.623480558395386,1.39690482616425,0.128892585635185,0.631135165691376,1.39445209503174,0.266789495944977,0.783085823059082,11_Sep_2023_14_40
10,2,7,3,7,0,2,1,3,6,21,9,1,20,1,4,0,17,0,31,55,2,19,4,1,15,1,1.55433893203735,0.612071216106415,0.848280251026154,1.66619884967804,0.388023167848587,0.623480558395386,1.39690482616425,0.128892585635185,0.631135165691376,1.39445209503174,0.266789495944977,0.783085823059082,11_Sep_2023_14_40
7,1,10,2,8,0,1,2,6,4,25,13,0,15,1,11,0,15,0,35,50,5,17,10,0,15,1,1.55433893203735,0.612071216106415,0.848280251026154,1.66619884967804,0.388023167848587,0.623480558395386,1.39690482616425,0.128892585635185,0.631135165691376,1.39445209503174,0.266789495944977,0.783085823059082,11_Sep_2023_14_40
10,1,7,3,7,0,9,0,6,4,19,17,1,19,0,3,0,17,1,33,55,2,17,5,0,15,2,1.55433893203735,0.612071216106415,0.848280251026154,1.66619884967804,0.388023167848587,0.623480558395386,1.39690482616425,0.128892585635185,0.631135165691376,1.39445209503174,0.266789495944977,0.783085823059082,11_Sep_2023_14_40
9,1,6,4,3,1,2,1,7,0,24,13,1,22,0,4,0,18,2,30,53,2,20,4,4,17,2,1.55433893203735,0.612071216106415,0.848280251026154,1.66619884967804,0.388023167848587,0.623480558395386,1.39690482616425,0.128892585635185,0.631135165691376,1.39445209503174,0.266789495944977,0.783085823059082,11_Sep_2023_14_40
8,3,4,9,5,1,1,1,2,8,21,10,0,21,0,6,0,16,1,35,53,2,16,2,1,16,3,1.55433893203735,0.612071216106415,0.848280251026154,1.66619884967804,0.388023167848587,0.623480558395386,1.39690482616425,0.128892585635185,0.631135165691376,1.39445209503174,0.266789495944977,0.783085823059082,11_Sep_2023_14_40
14,1,7,3,4,0,1,5,11,5,23,12,1,20,0,5,0,16,1,29,55,3,19,3,1,13,0,1.55436992645264,0.612151265144348,0.848341524600983,1.66640067100525,0.388155072927475,0.623330891132355,1.39680886268616,0.128942176699638,0.63124293088913,1.3944228887558,0.266893446445465,0.783129811286926,11_Sep_2023_14_40
9,3,5,6,6,0,3,0,6,3,23,10,1,19,6,7,0,18,4,25,55,2,19,3,0,16,2,1.55436992645264,0.612151265144348,0.848341524600983,1.66640067100525,0.388155072927475,0.623330891132355,1.39680886268616,0.128942176699638,0.63124293088913,1.3944228887558,0.266893446445465,0.783129811286926,11_Sep_2023_14_40
